ScripName,StrikePrice,OptionType,StrTradeDateTime,TradeDateTime,ExpiryDate,StrExpiryDate,OI,COI,IV,VOL
NIFTY,12150.0,CE,14:29,2021-03-26 14:29:01.253535+05:30,2021-04-29,29APR21,1.41,-0.03,21.09,6600
NIFTY,12150.0,PE,14:29,2021-03-26 14:29:01.253535+05:30,2021-04-29,29APR21,1.42,-0.03,28.5,58575
NIFTY,12200.0,CE,14:29,2021-03-26 14:29:01.267536+05:30,2021-04-29,29APR21,1.9,0.04,0.0,9600
NIFTY,12200.0,PE,14:29,2021-03-26 14:29:01.267536+05:30,2021-04-29,29APR21,2.32,-0.05,28.36,108300
NIFTY,12250.0,CE,14:29,2021-03-26 14:29:01.275533+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,12250.0,PE,14:29,2021-03-26 14:29:01.275533+05:30,2021-04-29,29APR21,0.04,0.0,28.15,20925
NIFTY,12300.0,CE,14:29,2021-03-26 14:29:01.283532+05:30,2021-04-29,29APR21,0.14,0.0,0.0,150
NIFTY,12300.0,PE,14:29,2021-03-26 14:29:01.283532+05:30,2021-04-29,29APR21,0.24,-0.0,28.12,17475
NIFTY,12350.0,CE,14:29,2021-03-26 14:29:01.291536+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,12350.0,PE,14:29,2021-03-26 14:29:01.291536+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,12400.0,CE,14:29,2021-03-26 14:29:01.299573+05:30,2021-04-29,29APR21,0.02,0.0,31.99,150
NIFTY,12400.0,PE,14:29,2021-03-26 14:29:01.299573+05:30,2021-04-29,29APR21,0.17,0.02,27.43,19425
NIFTY,12450.0,CE,14:29,2021-03-26 14:29:01.307536+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,12450.0,PE,14:29,2021-03-26 14:29:01.307536+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,12500.0,CE,14:29,2021-03-26 14:29:01.315536+05:30,2021-04-29,29APR21,7.78,0.12,7.51,54300
NIFTY,12500.0,PE,14:29,2021-03-26 14:29:01.315536+05:30,2021-04-29,29APR21,11.31,0.13,26.95,437325
NIFTY,12550.0,CE,14:29,2021-03-26 14:29:01.323536+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,12550.0,PE,14:29,2021-03-26 14:29:01.323536+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,12600.0,CE,14:29,2021-03-26 14:29:01.331547+05:30,2021-04-29,29APR21,0.08,-0.0,21.47,1350
NIFTY,12600.0,PE,14:29,2021-03-26 14:29:01.331547+05:30,2021-04-29,29APR21,0.19,0.04,26.15,36450
NIFTY,12650.0,CE,14:29,2021-03-26 14:29:01.339536+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,12650.0,PE,14:29,2021-03-26 14:29:01.339536+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,12700.0,CE,14:29,2021-03-26 14:29:01.347536+05:30,2021-04-29,29APR21,0.05,0.0,0.0,375
NIFTY,12700.0,PE,14:29,2021-03-26 14:29:01.347536+05:30,2021-04-29,29APR21,0.24,0.06,25.64,30675
NIFTY,12750.0,CE,14:29,2021-03-26 14:29:01.355546+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,12750.0,PE,14:29,2021-03-26 14:29:01.355546+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,12800.0,CE,14:29,2021-03-26 14:29:01.362544+05:30,2021-04-29,29APR21,0.09,0.0,0.0,225
NIFTY,12800.0,PE,14:29,2021-03-26 14:29:01.362544+05:30,2021-04-29,29APR21,1.09,0.57,25.18,168000
NIFTY,12850.0,CE,14:29,2021-03-26 14:29:01.371421+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,12850.0,PE,14:29,2021-03-26 14:29:01.371421+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,12900.0,CE,14:29,2021-03-26 14:29:01.379497+05:30,2021-04-29,29APR21,0.08,-0.02,0.0,3000
NIFTY,12900.0,PE,14:29,2021-03-26 14:29:01.379497+05:30,2021-04-29,29APR21,0.98,0.05,24.77,99000
NIFTY,12950.0,CE,14:29,2021-03-26 14:29:01.388086+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,12950.0,PE,14:29,2021-03-26 14:29:01.388086+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,13000.0,CE,14:29,2021-03-26 14:29:01.395089+05:30,2021-04-29,29APR21,7.63,0.48,22.15,82875
NIFTY,13000.0,PE,14:29,2021-03-26 14:29:01.395089+05:30,2021-04-29,29APR21,11.74,0.65,24.64,993150
NIFTY,13050.0,CE,14:29,2021-03-26 14:29:01.403089+05:30,2021-04-29,29APR21,0.0,0.0,20.69,0
NIFTY,13050.0,PE,14:29,2021-03-26 14:29:01.403089+05:30,2021-04-29,29APR21,0.05,0.02,24.56,5850
NIFTY,13100.0,CE,14:29,2021-03-26 14:29:01.411088+05:30,2021-04-29,29APR21,0.1,0.0,26.5,75
NIFTY,13100.0,PE,14:29,2021-03-26 14:29:01.411088+05:30,2021-04-29,29APR21,1.06,0.32,24.09,190350
NIFTY,13150.0,CE,14:29,2021-03-26 14:29:01.419086+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,13150.0,PE,14:29,2021-03-26 14:29:01.419086+05:30,2021-04-29,29APR21,0.04,0.03,24.59,14100
NIFTY,13200.0,CE,14:29,2021-03-26 14:29:01.427086+05:30,2021-04-29,29APR21,0.18,-0.0,23.74,525
NIFTY,13200.0,PE,14:29,2021-03-26 14:29:01.427086+05:30,2021-04-29,29APR21,1.64,0.79,23.67,264525
NIFTY,13250.0,CE,14:29,2021-03-26 14:29:01.436088+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,13250.0,PE,14:29,2021-03-26 14:29:01.436088+05:30,2021-04-29,29APR21,0.06,0.03,23.54,17775
NIFTY,13300.0,CE,14:29,2021-03-26 14:29:01.444089+05:30,2021-04-29,29APR21,0.12,-0.0,25.49,150
NIFTY,13300.0,PE,14:29,2021-03-26 14:29:01.444089+05:30,2021-04-29,29APR21,2.07,0.64,23.38,310050
NIFTY,13350.0,CE,14:29,2021-03-26 14:29:01.452089+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,13350.0,PE,14:29,2021-03-26 14:29:01.452089+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,13400.0,CE,14:29,2021-03-26 14:29:01.460089+05:30,2021-04-29,29APR21,0.04,0.0,25.02,225
NIFTY,13400.0,PE,14:29,2021-03-26 14:29:01.460089+05:30,2021-04-29,29APR21,2.49,0.53,23.07,362475
NIFTY,13450.0,CE,14:29,2021-03-26 14:29:01.469090+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,13450.0,PE,14:29,2021-03-26 14:29:01.469090+05:30,2021-04-29,29APR21,0.0,0.0,0.0,0
NIFTY,13500.0,CE,14:29,2021-03-26 14:29:01.477086+05:30,2021-04-29,29APR21,4.86,0.07,22.95,48000
NIFTY,13500.0,PE,14:29,2021-03-26 14:29:01.477086+05:30,2021-04-29,29APR21,25.0,3.01,22.89,1666275
