stocks,niftycode,pid
ACC,ACC,17980
ADANI-ENTERPRISES,ADANIENT,17984
ADANI-POWER,ADANIPOWER,17985
AJANTA-PHARMA-LTD,AJANTPHARM,947273
ALLAHABAD-BANK,ALBK,17992
AMARA-RAJA-BATTERIES,AMARAJABAT,17997
AMBUJA-CEMENTS,AMBUJACEM,17998
APOLLO-HOSPITALS,APOLLOHOSP,18004
APOLLO-TYRES,APOLLOTYRE,18005
ARVIND,ARVIND,18008
ASHOK-LEYLAND,ASHOKLEY,18010
ASIAN-PAINTS,ASIANPAINT,18011
AUROBINDO-PHARMA,AUROPHARMA,18014
AXIS-BANK,AXISBANK,18017
BAJAJ-AUTO,BAJAJAUTO,18020
BAJAJ-FINANCE,BAJFINANCE,18022
BAJAJ-FINSERV-LIMITED,BAJAJFINSV,18023
BALKRISHNA-INDUSTRIES-LTD,BALKRISIND,39853
BALRAMPUR-CHINI-MILLS,BALRAMCHIN,18029
BANK-OF-BARODA,BANKBARODA,18047
BATA-INDIA,BATAINDIA,18034
BEML,BEML,18035
BERGER-PAINTS-(I),BERGEPAINT,18036
BHARAT-ELECTRONICS,BEL,18043
BHARAT-FORGE,BHARATFORG,18039
BHARAT-HEAVY-ELECTRICALS,BHEL,18042
BHARAT-PETROLEUM,BPCL,18040
BHARTI-AIRTEL,BHARTIARTL,18041
BHARTI-INFRATEL-LTD,INDUSTOWER,39852
BIOCON,BIOCON,18045
BOSCH,BOSCHLTD,18052
BRITANNIA-INDUSTRIES,BRITANNIA,18054
CADILA-HEALTHCARE,CADILAHC,18055
CANARA-BANK,CANBK,18057
CAN-FIN-HOMES,CANFINHOME,18058
CASTROL-INDIA,CASTROLIND,18061
CEAT-LTD,CEATLTD,947439
CENTURY-TEXTILES---INDUSTRIES,CENTURYTEX,18065
CESC,CESC,18066
CHENNAI-PETROLEUM-CORPORATION,CHENNPETRO,18069
CHOLAMANDALAM-INV.-AND-FINANCE,CHOLAFIN,18070
CIPLA,CIPLA,18071
COAL-INDIA,COALINDIA,18075
COLGATE-PALMOLIVE-(INDIA),COLPAL,18076
CONTAINER-CORPORATION-OF-INDIA,CONCOR,18077
CROMPTON-GREAVES,CGPOWER,18083
CUMMINS-INDIA,CUMMINSIND,18084
DABUR-INDIA,DABUR,18086
DALMIA-BHARAT-LTD,DALMIABHA,39857
DEWAN-HOUSING-FINANCE,DHFL,18094
DISH-TV-INDIA-LIMITED,DISHTV,18097
DIVIS-LABORATORIES,DIVISLAB,18099
DLF,DLF,18100
DR-REDDYS-LABORATORIES,DRREDDY,18101
EICHER-MOTORS,EICHERMOT,18108
ENGINEERS-INDIA,ENGINERSIN,18114
EQUITAS-HOLDINGS-LTD,EQUITAS,976491
ESCORTS,ESCORTS,18118
EXIDE-INDUSTRIES,EXIDEIND,18122
FUTURE-CAPITAL-HOLDINGS,CAPF,18134
GAIL-(INDIA),GAIL,18137
GLENMARK-PHARMACEUTICALS,GLENMARK,18149
GMR-INFRASTRUCTURE,GMRINFRA,18150
GODFREY-PHILLIPS-INDIA,GODFRYPHLP,18151
GODREJ-CONSUMER-PRODUCTS,GODREJCP,18152
GODREJ-INDUSTRIES,GODREJIND,18153
GRANULES-INDIA-LTD,GRANULES,947234
GRASIM-INDUSTRIES,GRASIM,18156
GUJARAT-STATE-FERTIL.---CHEM.,GSFC,18168
HAVELLS-INDIA,HAVELLS,18174
HCL-TECHNOLOGIES,HCLTECH,18176
HDFC-BANK-LTD,HDFCBANK,18177
HERO-MOTOCORP,HEROMOTOCO,18179
HEXAWARE-TECHNOLOGIES,HEXAWARE,18180
HINDALCO-INDUSTRIES,HINDALCO,18187
HINDUSTAN-CONSTRUCTION-COMPANY,HCC,18183
HINDUSTAN-PETROLEUM,HINDPETRO,18184
HINDUSTAN-UNILEVER,HINDUNILVR,18185
HINDUSTAN-ZINC,HINDZINC,18186
HOUSING-DEVELOPMENT-FINANCE,HDFC,18191
ICICI-BANK-LTD,ICICIBANK,18198
ICICI-PRUDENTIAL-LIFE-INSURANCE-COM,ICICIPRULI,991131
IDBI-BANK,IDBI,18199
IDEA-CELLULAR,IDEA,18200
IDFC-BANK-LTD,IDFCFIRSTB,960765
IDFC-LIMITED,IDFC,18219
IFCI,IFCI,18195
INDIABULLS,IBULHSGFIN,100254
INDIAN-BANK,INDIANB,18209
INDIAN-OIL-CORPORATION,IOC,18197
INDRAPRASTHA-GAS,IGL,18213
INDUSIND-BANK,INDUSINDBK,18215
INFIBEAM-INCORPORATION,INFIBEAM,976203
INFOSYS,INFY,18217
INTERGLOBE-AVIATION-LTD,INDIGO,961701
IRB-INFRASTRUCTURE-DEVELOPERS,IRB,18223
ITC,ITC,18224
JAIN-IRRIGATION-SYSTEMS,JISLJALEQS,18230
JAIPRAKASH-ASSOCIATES,JPASSOCIAT,18231
JET-AIRWAYS-(INDIA),JETAIRWAYS,18237
JINDAL-STEEL---POWER,JINDALSTEL,18241
JSW-STEEL,JSWSTEEL,18226
JUBILANT-INDUSTRIES-LTD,JUBLINDS,946945
JUST-DIAL-LTD,JUSTDIAL,100244
KAJARIA-CERAMICS,KAJARIACER,18251
KAVERI-SEED-COMPANY-LTD,KSCL,39880
KOTAK-MAHINDRA-BANK,KOTAKBANK,18260
KPIT-CUMMINS-INFOSYSTEMS,BSOFT,18261
LARSEN---TOUBRO,LT,18268
LT-FINANCE-HOLDINGS-LTD,LTFH,39882
LUPIN,LUPIN,18270
MAHANAGAR-GAS-LTD-NS,MGL,985843
MAHINDRA---MAHINDRA,MM,18273
MAHINDRA---MAHINDRA-FINANCIALS,MMFIN,18271
MANAPPURAM-FINANCE-LTD,MANAPPURAM,39888
MANGALORE-REFINERY-AND-PETRO.,MRPL,18292
MARICO,MARICO,18276
MARUTI-SUZUKI-INDIA,MARUTI,18277
MAX-INDIA,MFSL,18279
MCDOWELL-HOLDINGS-LTD,MCDHOLDING,947063
MINDTREE,MINDTREE,18283
MOTHERSON-SUMI-SYSTEMS,MOTHERSUMI,18288
MRF,MRF,18291
MUNDRA-PORT-SPECIAL-ECO.-ZONE,ADANIPORTS,18294
MUTHOOT-FINANCE-LTD,MUTHOOTFIN,39890
NATIONAL-ALUMINIUM,NATIONALUM,18299
NATIONAL-BU,NBCC,100271
NATL-CEMENT-CO,,12553
NESTLE,NESTLEIND,30059
NHPC,NHPC,18307
NIIT,NIITLTD,18296
NMDC,NMDC,18309
NTPC,NTPC,18297
OIL-INDIA,OIL,18313
OIL---NATURAL-GAS-CORPORATION,ONGC,18311
