niftycode,pid
20MICRONS,947372
3MINDIA,17978
5PAISA,1055944
SECURKLOUD,946634
A2ZINFRA,39849
AAKASH,1161562
AARON,1096021
AARTIDRUGS,947347
AARTIIND,17981
AARTISURF,1164005
AARVEEDEN,946817
AARVI,1161560
AAVAS,1096512
ABAN,17982
ABBOTINDIA,39845
POWERINDIA,1161388
ACC,17980
INSPIRISYS,947156
ACCURACY,1088096
ACRYSIL,1169440
ACE,946653
ADANIENT,17984
ATGL,1111710
ADANIGREEN,1088095
ADANIPOWER,17985
ADANITRANS,958331
ADFFOODS,947388
INCREDIBLE,985837
ABCAPITAL,7310
BIRLAMONEY,946988
IMAGICAA,950030
ADORWELD,947316
ADVENZYMES,986127
ADVANIHOTR,946723
AEGISCHEM,947157
AFFLE,1142212
AGARIND,946917
AGCNET,947315
AGRITECH,947150
AGROPHOS,1073025
ATFL,17988
AHLADA,1111717
AHLUCONT,946820
METALFORGE,946928
AIAENG,17989
AIRAN,1090783
AJANTPHARM,947273
AJMERA,946814
AJOONI,1061908
AKG,1161556
AKSHARCHEM,999081
AKSHOPTFBR,947216
AKZOINDIA,17990
ALANKIT,955704
ALBERTDAVD,985282
ALEMBICLTD,947413
APLLTD,946738
ALICON,947095
ALKALI,947274
ALKEM,962425
ALKYLAMINE,946781
ALLCARGO,17993
ADSL,17994
ALLSEC,946929
ALMONDZ,946660
ALOKINDS,17995
ALPA,947039
ALPHAGEO,947210
ALPSINDUS,947160
GET&D,39847
GEPIL,17996
AMARAJABAT,17997
AMBER,1061909
AMBIKCO,946930
AMBUJACEM,17998
AMDIND,947217
AMIORG,1176944
AMRUTANJAN,946780
APOLLOPIPES,987268
BALAXI,961993
ANANTRAJ,18001
ANDHRAPAP,39846
ANDREWYU,950626
ANGELBRKG,1166411
ANIKINDS,947161
APCL,1008672
ANKITMETAL,946976
ANMOL,1123226
ANSALHSG,946762
ANSALAPI,18003
ANTGRAPHIC,947367
AWHCL,1158868
ANURAS,1171957
APARINDS,947162
APCOTEXIND,946989
APEX,1031739
APLAPOLLO,947096
APOLLOHOSP,18004
APOLLO,1061692
APOLSINHOT,945713
APOLLOTYRE,18005
APTECHT,18006
APTUS,1175888
ARCHIDPLY,946879
ARCHIES,947414
ARIES,947368
ARIHANT,946724
ARIHANTSUP,999082
ARMANFIN,985283
AROGRANITE,946782
ARROWGREEN,953897
ARSHIYA,39848
ARSSINFRA,18007
ARTEMISMED,1161557
ARVEE,1072001
ARVIND,18008
ARVINDFASN,1123866
ARVSMART,959091
ASAHIINDIA,18009
ASAHISONG,946627
ASHAPURMIN,947044
ASHIANA,947159
ASHIMASYN,947424
ASHOKA,947158
ASHOKLEY,18010
ASIANTILES,946932
AHLEAST,947045
ASIANHOTNR,946990
AHLWEST,947033
ASIANPAINT,18011
ASPINWALL,985284
ASALCBR,987308
ASTEC,946991
ASTERDM,1064345
ASTRAL,946934
ASTRAMICRO,946661
ASTRAZEN,18012
ASTRON,1057252
ATLANTA,947415
ATUL,18013
ATULAUTO,947389
AURIONPRO,946931
AUROPHARMA,18014
AUBANK,1014099
AUSOMENT,947097
AUTOIND,946935
AUTOAXLES,18015
ASAL,946624
AVADHSUGAR,1031153
AVANTIFEED,950031
DMART,997883
AVTNPL,946881
AXISBANK,18017
AXISCADES,946777
BAGFILMS,946924
BAFNAPH,946836
BAJAJ-AUTO,18020
BAJAJCON,39850
BAJAJELEC,18021
BAJFINANCE,18022
BAJAJFINSV,18023
BAJAJHIND,18025
BAJAJHLDNG,18024
BALAMINES,947275
BALAJITELE,18026
BALKRISIND,39853
BALLARPUR,18027
BLIL,950656
BALPHARMA,947369
BALRAMCHIN,18029
BANARBEADS,947278
BANCOINDIA,18030
BANDHANBNK,1072999
BANG,947276
BANKA,1072002
BANKBARODA,18047
MAHABANK,39854
BANARISUG,18032
BANSWRAS,947164
BVCL,946882
BARBEQUE,1171976
BARTRONICS,947099
BASF,18033
BATAINDIA,18034
BAYERCROP,39851
BCLIND,987357
BEARDSELL,947385
BEDMUTHA,946936
BEML,18035
BERGEPAINT,18036
BFINVEST,947277
BFUTILITIE,18037
BGRENERGY,18018
BHAGERIA,969119
BHAGYANGR,947047
BHAGYAPROP,1031157
BHANDARI,996055
BEPL,18038
BBL,947279
BDL,1073001
BEL,18043
BHARATFORG,18039
BHARATGEAR,947317
BHEL,18042
BPCL,18040
BHARATRAS,947221
BRNL,1046343
BHARATWIRE,977697
BHARTIARTL,18041
INDUSTOWER,39852
BIL,946783
TATASTLBSL,18044
BIGBLOC,987144
BIOCON,18045
BIOFILCHEM,1034490
BIRLACORPN,18046
BIRLACABLE,946784
BIRLATYRE,1161564
BLBLIMITED,947446
BLISSGVS,947100
BLKASHYAP,947030
BLS,985285
BLUEDART,18048
BLUESTARCO,18049
LINDEINDIA,18019
BODALCHEM,947165
BOMDYEING,18050
BRFL,18051
BSHSL,1081577
BBTC,100245
BOROLTD,1164006
BORORENEW,1160908
BOSCHLTD,18052
BPL,947447
BRIGADE,18053
BRITANNIA,18054
BROOKS,946937
BURGERKING,1167532
BURNPUR,947220
BUTTERFLY,946648
THEBYKE,950039
CADILAHC,18055
CALSOFT,946727
CTE,946622
CAMLINFINE,945153
OAL,987423
CANBK,18057
CANFINHOME,18058
CANTABIL,946837
CAPACITE,1046334
CAPTRUST,995113
CAPLIPOINT,946662
CGCL,946883
CARBORUNIV,18059
CAREERP,947318
CASTROLIND,18061
CCL,946995
CEATLTD,947439
CELEBRITY,946996
CENTRALBK,18062
CDSL,1013401
CENTRUM,1081578
CENTUM,946997
CENTENKA,18063
CENTEXT,946999
CENTURYPLY,18064
CENTURYTEX,18065
CERA,947048
CEREBRAINT,946685
CESC,18066
CHALET,1122225
CLSEL,962461
CHAMBLFERT,18067
CHEMBOND,987447
CHEMCON,1166413
CHEMFABALKA,1080111
CHEMPLASTS,1176665
CHENNPETRO,18069
UGROCAP,987454
CHOLAFIN,18070
CIGNITITEC,942590
CINELINE,947222
CIPLA,18071
CUB,18072
CLNINDIA,18073
CLEAN,1175258
CLEDUCATE,998080
CMICABLES,993990
COALINDIA,18075
COCHINSHIP,1031007
COFFEEDAY,960764
CEBBCO,946675
COMPINFO,985838
COMPUSOFT,947051
CAMS,1166416
CONFIPET,987484
CONSOFINVT,946679
CONCOR,18077
CONTROLPR,985839
CORALFINAC,987488
CORDSCABLE,946785
COROMANDEL,18080
COSMOFILMS,947349
CCHHL,945156
COUNCODOS,947168
COX&KINGS,18081
CRAFTSMAN,1171990
CREATIVEYE,947311
CREATIVE,1008673
CREDITACC,1090470
CARERATING,39856
CREST,947224
CRISIL,18082
CGPOWER,18083
CROMPTON,978762
CSBBANK,1155852
CUBEXTUB,947281
CUMMINSIND,18084
CUPID,989628
CYBERMEDIA,976197
CYBERTECH,946715
DABUR,18086
DALMIASUG,946869
DAMODARIND,985840
DANGEE,1096024
DATAMATICS,946636
DBCORP,18487
DBSTOCKBRO,946629
DBREALTY,18085
DCMFINSERV,987518
DCMNVL,1161574
DCMSRMIND,987521
DCW,18088
DECCANCE,947223
DEEPAKFERT,18090
DEEPAKNTR,947225
DEEPINDS,1173175
DEEPENR,947169
DELTACORP,18091
DELTAMAGNT,947272
DEN,18486
DENORA,947280
DCBBANK,18093
DEVYANI,1176321
DFMFOODS,994739
DHANBANK,18096
DHANUKA,947101
DHARSUGAR,946862
DHUNINV,946877
DTIL,945154
DIAPOWER,946689
DICIND,947391
DGCONTENT,1161575
DNAMEDIA,1057253
DBL,986320
DCAL,1052348
DISHTV,18097
DIVISLAB,18099
DIXON,1046345
DLF,18100
DLINKINDIA,947319
DODLA,1174436
DOLAT,987556
DOLLAR,1008992
DONEAR,947053
DPABHUSHAN,1161572
DPWIRES,1131262
DRCSYSTEMS,1171734
DREDGECORP,18102
DRREDDY,18101
DWARKESH,946637
DSSL,946773
DUCON,946838
DYNAMATECH,18103
DYNPRO,1031159
EASTSILK,946741
EASUNREYRL,947226
EASEMYTRIP,1171272
ECLERX,18105
EDELWEISS,18106
EDUCOMP,18107
EICHERMOT,18108
EIDPARRY,18109
EIHOTEL,18104
EIHAHOTELS,946832
EIMCOELECO,947001
ELECON,39858
ELECTCAST,18111
ELECTHERM,947002
ELGIEQUIP,18112
ELGIRUBCO,947228
EMAMILTD,18113
EMAMIREAL,946884
EMAMIPAP,987584
EMCO,947440
EMKAY,946829
EMMBI,947102
ENDURANCE,992809
ENERGYDEV,946638
ENGINERSIN,18114
MAHEPC,950689
KIRIINDUS,947007
EQUITAS,976491
EQUITASBNK,1166989
ERIS,1013402
EROSMEDIA,39860
ESABINDIA,18117
ESCORTS,18118
ESSARSHPNG,941197
EPL,18120
ESTER,947103
EVEREADY,946663
EVERESTIND,947004
EKC,18121
EXCELINDUS,947104
EXIDEIND,18122
EXXARO,1175850
SCHAEFFLER,18124
FAIRCHEMOR,1168660
FCSSOFT,946787
FDC,18123
FMGOETZE,18126
FIEMIND,947172
FILATEX,947284
63MOONS,18127
FINEORG,1087961
FCL,954950
FINCABLES,18128
FINPIPE,18129
FSL,18131
FLEXITUFF,100246
FORCEMOT,987635
FORTIS,18132
THEINVEST,1031161
FOSECOIND,947321
FLFL,946664
FMNL,946788
FEL,18327
FRETAIL,986634
FSC,1056487
FCONSUMER,39470
GABRIEL,100247
GALAXYSURF,1061939
GALLISPAT,947232
GALLANTT,947230
AJRINFRA,18139
GANECOS,946574
GANESHHOUC,946938
GANGAFORGE,1161579
GANGESSECU,1031163
GRSE,1096184
GARFIBRES,947005
GDL,18141
GATI,100248
GAYAHWS,1088098
GAYAPROJ,947105
GEECEE,947173
GEEKAYWIRE,1043252
GENESYS,946778
GENUSPAPER,945715
GENUSPOWER,946731
GEOJITFSL,18142
GFLLIMITED,1155042
GHCL,18136
GANDHITUBE,947031
GICHSGFIN,946939
GILLANDERS,946867
GILLETTE,18145
GINNIFILA,947174
GKWLIMITED,947450
GLAND,1167243
GLENMARK,18149
GLOBALVECT,946790
GLOBE,1031104
GLOBUSSPR,947233
GMBREW,947285
GMMPFAUDLR,1073767
GMRINFRA,18150
GNA,991130
GOACARBON,947370
GPIL,946864
GODFRYPHLP,18151
GODHA,1081582
GODREJAGRO,1052259
GODREJCP,18152
GODREJIND,18153
GODREJPROP,18154
GOENKA,946769
GOKEX,947107
GOKULAGRO,976199
GOKUL,946770
GOLDENTOBC,947231
GOLDIAM,946839
OLECTRA,946940
GOLDTECH,946791
GOODLUCK,976198
GPTINFRA,985920
GFSTEELS,1152779
GRANULES,947234
GRAPHITE,18155
GRASIM,18156
GRAUWEIL,987716
GRAVITA,39866
GESHIP,18144
GREAVESCOT,18158
PROINDIA,946728
GREENLAM,945932
GREENPANEL,1153658
GREENPLY,946941
