ScripName,ExpiryDate,Threshold
FINNIFTY,29-Apr-21,1
FINNIFTY,27-May-21,1
FINNIFTY,8-Apr-21,1
FINNIFTY,15-Apr-21,1
BANKNIFTY,29-Apr-21,1
BANKNIFTY,27-May-21,1
BANKNIFTY,8-Apr-21,1
BANKNIFTY,15-Apr-21,1
NIFTY,29-Apr-21,1
NIFTY,27-May-21,1
NIFTY,8-Apr-21,1
NIFTY,15-Apr-21,1
AARTIIND,29-Apr-21,1
AARTIIND,27-May-21,1
ACC,29-Apr-21,1
ACC,27-May-21,1
ADANIENT,29-Apr-21,1
ADANIENT,27-May-21,1
ADANIPORTS,29-Apr-21,1
ADANIPORTS,27-May-21,1
APLLTD,29-Apr-21,1
APLLTD,27-May-21,1
ALKEM,29-Apr-21,1
ALKEM,27-May-21,1
AMARAJABAT,29-Apr-21,1
AMARAJABAT,27-May-21,1
AMBUJACEM,29-Apr-21,1
AMBUJACEM,27-May-21,1
APOLLOHOSP,29-Apr-21,1
APOLLOHOSP,27-May-21,1
APOLLOTYRE,29-Apr-21,1
APOLLOTYRE,27-May-21,1
ASHOKLEY,29-Apr-21,1
ASHOKLEY,27-May-21,1
ASIANPAINT,29-Apr-21,1
ASIANPAINT,27-May-21,1
AUBANK,29-Apr-21,1
AUBANK,27-May-21,1
AUROPHARMA,29-Apr-21,1
AUROPHARMA,27-May-21,1
AXISBANK,29-Apr-21,1
AXISBANK,27-May-21,1
BAJAJ-AUTO,29-Apr-21,1
BAJAJ-AUTO,27-May-21,1
BAJFINANCE,29-Apr-21,1
BAJFINANCE,27-May-21,1
BAJAJFINSV,29-Apr-21,1
BAJAJFINSV,27-May-21,1
BALKRISIND,29-Apr-21,1
BALKRISIND,27-May-21,1
BANDHANBNK,29-Apr-21,1
BANDHANBNK,27-May-21,1
BANKBARODA,29-Apr-21,1
BANKBARODA,27-May-21,1
BATAINDIA,29-Apr-21,1
BATAINDIA,27-May-21,1
BERGEPAINT,29-Apr-21,1
BERGEPAINT,27-May-21,1
BEL,29-Apr-21,1
BEL,27-May-21,1
BHARATFORG,29-Apr-21,1
BHARATFORG,27-May-21,1
BHEL,29-Apr-21,1
BHEL,27-May-21,1
BPCL,29-Apr-21,1
BPCL,27-May-21,1
BHARTIARTL,29-Apr-21,1
BHARTIARTL,27-May-21,1
BIOCON,29-Apr-21,1
BIOCON,27-May-21,1
