date,label,value
"2021-08-27 10:47:54",17100-CE,4.66
"2021-08-27 10:47:54",17100-PE,0.15
"2021-08-27 10:47:54",17150-CE,0.37
"2021-08-27 10:47:54",17150-PE,0.09
"2021-08-27 10:49:11",17100-CE,4.67
"2021-08-27 10:49:11",17100-PE,0.15
"2021-08-27 10:49:11",17150-CE,0.38
"2021-08-27 10:49:11",17150-PE,0.09
"2021-08-27 10:50:26",17100-CE,4.67
"2021-08-27 10:50:26",17100-PE,0.15
"2021-08-27 10:50:26",17150-CE,0.38
"2021-08-27 10:50:26",17150-PE,0.09
"2021-08-27 10:51:43",17100-CE,4.68
"2021-08-27 10:51:43",17100-PE,0.15
"2021-08-27 10:51:43",17150-CE,0.38
"2021-08-27 10:51:43",17150-PE,0.09
"2021-08-27 10:53:06",17100-CE,4.68
"2021-08-27 10:53:06",17100-PE,0.15
"2021-08-27 10:53:06",17150-CE,0.38
"2021-08-27 10:53:06",17150-PE,0.08
"2021-08-27 10:54:30",17100-CE,4.69
"2021-08-27 10:54:30",17100-PE,0.15
"2021-08-27 10:54:30",17150-CE,0.38
"2021-08-27 10:54:30",17150-PE,0.08
"2021-08-27 10:55:58",17100-CE,4.69
"2021-08-27 10:55:58",17100-PE,0.15
"2021-08-27 10:55:58",17150-CE,0.38
"2021-08-27 10:55:58",17150-PE,0.08
"2021-08-27 10:57:15",17100-CE,4.69
"2021-08-27 10:57:15",17100-PE,0.15
"2021-08-27 10:57:15",17150-CE,0.38
"2021-08-27 10:57:15",17150-PE,0.08
"2021-08-27 10:58:32",17100-CE,4.69
"2021-08-27 10:58:32",17100-PE,0.15
"2021-08-27 10:58:32",17150-CE,0.38
"2021-08-27 10:58:32",17150-PE,0.08
"2021-08-27 10:59:50",17100-CE,4.69
"2021-08-27 10:59:50",17100-PE,0.15
"2021-08-27 10:59:50",17150-CE,0.38
"2021-08-27 10:59:50",17150-PE,0.09
"2021-08-27 11:01:07",17100-CE,4.69
"2021-08-27 11:01:07",17100-PE,0.15
"2021-08-27 11:01:07",17150-CE,0.38
"2021-08-27 11:01:07",17150-PE,0.09
"2021-08-27 11:02:24",17100-CE,4.69
"2021-08-27 11:02:24",17100-PE,0.15
"2021-08-27 11:02:24",17150-CE,0.38
"2021-08-27 11:02:24",17150-PE,0.09
"2021-08-27 11:03:41",17100-CE,4.69
"2021-08-27 11:03:41",17100-PE,0.15
"2021-08-27 11:03:41",17150-CE,0.38
"2021-08-27 11:03:41",17150-PE,0.09
"2021-08-27 11:05:00",17100-CE,4.69
"2021-08-27 11:05:00",17100-PE,0.15
"2021-08-27 11:05:00",17150-CE,0.38
"2021-08-27 11:05:00",17150-PE,0.09
"2021-08-27 11:06:20",17100-CE,4.69
"2021-08-27 11:06:20",17100-PE,0.15
"2021-08-27 11:06:20",17150-CE,0.38
"2021-08-27 11:06:20",17150-PE,0.09
"2021-08-27 11:07:35",17100-CE,4.69
"2021-08-27 11:07:35",17100-PE,0.15
"2021-08-27 11:07:35",17150-CE,0.38
"2021-08-27 11:07:35",17150-PE,0.09
"2021-08-27 11:08:56",17100-CE,4.69
"2021-08-27 11:08:56",17100-PE,0.15
"2021-08-27 11:08:56",17150-CE,0.38
"2021-08-27 11:08:56",17150-PE,0.09
"2021-08-27 11:10:14",17100-CE,4.69
"2021-08-27 11:10:14",17100-PE,0.15
